,dteday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count,category_days,humidity_category,Frequency_Group
33,2011-01-02,springer,2011,january,10,0,sunday,cloudy,0.36,0.3485,81.0,0.2239,7,46,53,weekend,terlalu lembab,Tinggi
34,2011-01-02,springer,2011,january,11,0,sunday,cloudy,0.36,0.3333,71.0,0.2537,16,54,70,weekend,terlalu lembab,Tinggi
35,2011-01-02,springer,2011,january,12,0,sunday,cloudy,0.36,0.3333,66.0,0.2985,20,73,93,weekend,terlalu lembab,Tinggi
36,2011-01-02,springer,2011,january,13,0,sunday,cloudy,0.36,0.3485,66.0,0.1343,11,64,75,weekend,terlalu lembab,Tinggi
37,2011-01-02,springer,2011,january,14,0,sunday,light_rain,0.36,0.3485,76.0,0.194,4,55,59,weekend,terlalu lembab,Tinggi
38,2011-01-02,springer,2011,january,15,0,sunday,light_rain,0.34,0.3333,81.0,0.1642,19,55,74,weekend,terlalu lembab,Tinggi
39,2011-01-02,springer,2011,january,16,0,sunday,light_rain,0.34,0.3333,71.0,0.1642,9,67,76,weekend,terlalu lembab,Tinggi
40,2011-01-02,springer,2011,january,17,0,sunday,clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,weekend,ideal,Tinggi
41,2011-01-02,springer,2011,january,18,0,sunday,cloudy,0.36,0.3333,46.0,0.3284,10,43,53,weekend,ideal,Tinggi
42,2011-01-02,springer,2011,january,19,0,sunday,clear,0.32,0.2879,42.0,0.4478,1,29,30,weekend,terlalu kering,Sedang
43,2011-01-02,springer,2011,january,20,0,sunday,clear,0.3,0.2727,39.0,0.3582,5,17,22,weekend,terlalu kering,Sedang
44,2011-01-02,springer,2011,january,21,0,sunday,clear,0.26,0.2273,44.0,0.3284,11,20,31,weekend,terlalu kering,Sedang
45,2011-01-02,springer,2011,january,22,0,sunday,clear,0.24,0.2121,44.0,0.2985,0,9,9,weekend,terlalu kering,Rendah
46,2011-01-02,springer,2011,january,23,0,sunday,clear,0.22,0.2273,47.0,0.1642,0,8,8,weekend,ideal,Rendah
47,2011-01-03,springer,2011,january,0,0,monday,clear,0.22,0.197,44.0,0.3582,0,5,5,weekdays,terlalu kering,Rendah
48,2011-01-03,springer,2011,january,1,0,monday,clear,0.2,0.1667,44.0,0.4179,0,2,2,weekdays,terlalu kering,Rendah
49,2011-01-03,springer,2011,january,4,0,monday,clear,0.16,0.1364,47.0,0.3881,0,1,1,weekdays,ideal,Rendah
50,2011-01-03,springer,2011,january,5,0,monday,clear,0.16,0.1364,47.0,0.2836,0,3,3,weekdays,ideal,Rendah
51,2011-01-03,springer,2011,january,6,0,monday,clear,0.14,0.1061,50.0,0.3881,0,30,30,weekdays,ideal,Sedang
52,2011-01-03,springer,2011,january,7,0,monday,clear,0.14,0.1364,50.0,0.194,1,63,64,weekdays,ideal,Tinggi
53,2011-01-03,springer,2011,january,8,0,monday,clear,0.14,0.1212,50.0,0.2836,1,153,154,weekdays,ideal,Sangat Tinggi
54,2011-01-03,springer,2011,january,9,0,monday,clear,0.16,0.1364,43.0,0.3881,7,81,88,weekdays,terlalu kering,Tinggi
55,2011-01-03,springer,2011,january,10,0,monday,clear,0.18,0.1667,43.0,0.2537,11,33,44,weekdays,terlalu kering,Sedang
56,2011-01-03,springer,2011,january,11,0,monday,clear,0.2,0.1818,40.0,0.3284,10,41,51,weekdays,terlalu kering,Tinggi
57,2011-01-03,springer,2011,january,12,0,monday,clear,0.22,0.2121,35.0,0.2985,13,48,61,weekdays,terlalu kering,Tinggi
58,2011-01-03,springer,2011,january,13,0,monday,clear,0.24,0.2121,35.0,0.2836,8,53,61,weekdays,terlalu kering,Tinggi
59,2011-01-03,springer,2011,january,14,0,monday,clear,0.26,0.2424,30.0,0.2836,11,66,77,weekdays,terlalu kering,Tinggi
60,2011-01-03,springer,2011,january,15,0,monday,clear,0.26,0.2424,30.0,0.2537,14,58,72,weekdays,terlalu kering,Tinggi
61,2011-01-03,springer,2011,january,16,0,monday,clear,0.26,0.2424,30.0,0.2537,9,67,76,weekdays,terlalu kering,Tinggi
62,2011-01-03,springer,2011,january,17,0,monday,clear,0.24,0.2273,30.0,0.2239,11,146,157,weekdays,terlalu kering,Sangat Tinggi
63,2011-01-03,springer,2011,january,18,0,monday,clear,0.24,0.2576,32.0,0.1045,9,148,157,weekdays,terlalu kering,Sangat Tinggi
64,2011-01-03,springer,2011,january,19,0,monday,clear,0.2,0.2576,47.0,0.0,8,102,110,weekdays,ideal,Sangat Tinggi
65,2011-01-03,springer,2011,january,20,0,monday,clear,0.2,0.2273,47.0,0.1045,3,49,52,weekdays,ideal,Tinggi
66,2011-01-03,springer,2011,january,21,0,monday,clear,0.18,0.197,64.0,0.1343,3,49,52,weekdays,ideal,Tinggi
67,2011-01-03,springer,2011,january,22,0,monday,clear,0.14,0.1515,69.0,0.1343,0,20,20,weekdays,terlalu lembab,Sedang
68,2011-01-03,springer,2011,january,23,0,monday,clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,weekdays,ideal,Sedang
69,2011-01-04,springer,2011,january,0,0,tuesday,clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,weekdays,ideal,Rendah
70,2011-01-04,springer,2011,january,1,0,tuesday,clear,0.16,0.1818,59.0,0.1045,0,2,2,weekdays,ideal,Rendah
71,2011-01-04,springer,2011,january,2,0,tuesday,clear,0.14,0.1515,63.0,0.1343,0,1,1,weekdays,ideal,Rendah
72,2011-01-04,springer,2011,january,4,0,tuesday,clear,0.14,0.1818,63.0,0.0896,0,2,2,weekdays,ideal,Rendah
73,2011-01-04,springer,2011,january,5,0,tuesday,clear,0.12,0.1515,68.0,0.1045,0,4,4,weekdays,terlalu lembab,Rendah
74,2011-01-04,springer,2011,january,6,0,tuesday,clear,0.12,0.1515,74.0,0.1045,0,36,36,weekdays,terlalu lembab,Sedang
75,2011-01-04,springer,2011,january,7,0,tuesday,clear,0.12,0.1515,74.0,0.1343,2,92,94,weekdays,terlalu lembab,Tinggi
76,2011-01-04,springer,2011,january,8,0,tuesday,clear,0.14,0.1515,69.0,0.1642,2,177,179,weekdays,terlalu lembab,Sangat Tinggi
77,2011-01-04,springer,2011,january,9,0,tuesday,clear,0.16,0.1515,64.0,0.2239,2,98,100,weekdays,ideal,Sangat Tinggi
78,2011-01-04,springer,2011,january,10,0,tuesday,cloudy,0.16,0.1364,69.0,0.3284,5,37,42,weekdays,terlalu lembab,Sedang
79,2011-01-04,springer,2011,january,11,0,tuesday,clear,0.22,0.2121,51.0,0.2985,7,50,57,weekdays,ideal,Tinggi
80,2011-01-04,springer,2011,january,12,0,tuesday,clear,0.22,0.2273,51.0,0.1642,12,66,78,weekdays,ideal,Tinggi
81,2011-01-04,springer,2011,january,13,0,tuesday,clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,weekdays,ideal,Tinggi
82,2011-01-04,springer,2011,january,14,0,tuesday,clear,0.26,0.2576,52.0,0.2239,9,54,63,weekdays,ideal,Tinggi
83,2011-01-04,springer,2011,january,15,0,tuesday,clear,0.28,0.2727,52.0,0.2537,17,48,65,weekdays,ideal,Tinggi
84,2011-01-04,springer,2011,january,16,0,tuesday,clear,0.3,0.2879,49.0,0.2537,15,68,83,weekdays,ideal,Tinggi
85,2011-01-04,springer,2011,january,17,0,tuesday,clear,0.28,0.2727,48.0,0.2239,10,202,212,weekdays,ideal,Sangat Tinggi
86,2011-01-04,springer,2011,january,18,0,tuesday,clear,0.26,0.2576,48.0,0.194,3,179,182,weekdays,ideal,Sangat Tinggi
87,2011-01-04,springer,2011,january,19,0,tuesday,clear,0.24,0.2576,48.0,0.1045,2,110,112,weekdays,ideal,Sangat Tinggi
88,2011-01-04,springer,2011,january,20,0,tuesday,clear,0.24,0.2576,48.0,0.1045,1,53,54,weekdays,ideal,Tinggi
89,2011-01-04,springer,2011,january,21,0,tuesday,clear,0.22,0.2727,64.0,0.0,0,48,48,weekdays,ideal,Sedang
90,2011-01-04,springer,2011,january,22,0,tuesday,clear,0.22,0.2576,64.0,0.0896,1,34,35,weekdays,ideal,Sedang
91,2011-01-04,springer,2011,january,23,0,tuesday,clear,0.2,0.2273,69.0,0.0896,2,9,11,weekdays,terlalu lembab,Sedang
92,2011-01-05,springer,2011,january,0,0,wednesday,clear,0.2,0.2576,64.0,0.0,0,6,6,weekdays,ideal,Rendah
93,2011-01-05,springer,2011,january,1,0,wednesday,clear,0.16,0.197,74.0,0.0896,0,6,6,weekdays,terlalu lembab,Rendah
94,2011-01-05,springer,2011,january,2,0,wednesday,clear,0.16,0.197,74.0,0.0896,0,2,2,weekdays,terlalu lembab,Rendah
95,2011-01-05,springer,2011,january,4,0,wednesday,clear,0.24,0.2273,48.0,0.2239,0,2,2,weekdays,ideal,Rendah
96,2011-01-05,springer,2011,january,5,0,wednesday,clear,0.22,0.2273,47.0,0.1642,0,3,3,weekdays,ideal,Rendah
97,2011-01-05,springer,2011,january,6,0,wednesday,clear,0.2,0.197,47.0,0.2239,0,33,33,weekdays,ideal,Sedang
98,2011-01-05,springer,2011,january,7,0,wednesday,clear,0.18,0.1818,43.0,0.194,1,87,88,weekdays,terlalu kering,Tinggi
99,2011-01-05,springer,2011,january,8,0,wednesday,clear,0.2,0.1818,40.0,0.2985,3,192,195,weekdays,terlalu kering,Sangat Tinggi
100,2011-01-05,springer,2011,january,9,0,wednesday,clear,0.22,0.197,37.0,0.3284,6,109,115,weekdays,terlalu kering,Sangat Tinggi
101,2011-01-05,springer,2011,january,10,0,wednesday,clear,0.22,0.197,37.0,0.3284,4,53,57,weekdays,terlalu kering,Tinggi
102,2011-01-05,springer,2011,january,11,0,wednesday,clear,0.26,0.2273,33.0,0.3284,12,34,46,weekdays,terlalu kering,Sedang
103,2011-01-05,springer,2011,january,12,0,wednesday,clear,0.26,0.2273,33.0,0.3284,5,74,79,weekdays,terlalu kering,Tinggi
104,2011-01-05,springer,2011,january,13,0,wednesday,clear,0.28,0.2576,30.0,0.2985,6,65,71,weekdays,terlalu kering,Tinggi
105,2011-01-05,springer,2011,january,14,0,wednesday,clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,weekdays,terlalu kering,Tinggi
106,2011-01-05,springer,2011,january,15,0,wednesday,clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,weekdays,terlalu kering,Tinggi
107,2011-01-05,springer,2011,january,16,0,wednesday,clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,weekdays,terlalu kering,Tinggi
108,2011-01-05,springer,2011,january,17,0,wednesday,clear,0.24,0.2273,38.0,0.194,4,186,190,weekdays,terlalu kering,Sangat Tinggi
109,2011-01-05,springer,2011,january,18,0,wednesday,clear,0.24,0.2424,38.0,0.1343,3,166,169,weekdays,terlalu kering,Sangat Tinggi
110,2011-01-05,springer,2011,january,19,0,wednesday,clear,0.24,0.2576,38.0,0.1045,5,127,132,weekdays,terlalu kering,Sangat Tinggi
111,2011-01-05,springer,2011,january,20,0,wednesday,clear,0.22,0.2273,47.0,0.1642,7,82,89,weekdays,ideal,Tinggi
112,2011-01-05,springer,2011,january,21,0,wednesday,clear,0.2,0.197,51.0,0.194,3,40,43,weekdays,ideal,Sedang
113,2011-01-05,springer,2011,january,22,0,wednesday,clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,weekdays,ideal,Sedang
114,2011-01-05,springer,2011,january,23,0,wednesday,clear,0.2,0.2576,47.0,0.0,1,18,19,weekdays,ideal,Sedang
115,2011-01-06,springer,2011,january,0,0,thursday,clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,weekdays,ideal,Sedang
116,2011-01-06,springer,2011,january,1,0,thursday,clear,0.16,0.2273,64.0,0.0,0,4,4,weekdays,ideal,Rendah
117,2011-01-06,springer,2011,january,2,0,thursday,clear,0.16,0.2273,64.0,0.0,0,2,2,weekdays,ideal,Rendah
118,2011-01-06,springer,2011,january,4,0,thursday,cloudy,0.16,0.197,64.0,0.0896,0,1,1,weekdays,ideal,Rendah
119,2011-01-06,springer,2011,january,5,0,thursday,cloudy,0.14,0.1818,69.0,0.0896,0,4,4,weekdays,terlalu lembab,Rendah
120,2011-01-06,springer,2011,january,6,0,thursday,cloudy,0.14,0.1667,63.0,0.1045,0,36,36,weekdays,ideal,Sedang
121,2011-01-06,springer,2011,january,7,0,thursday,cloudy,0.16,0.2273,59.0,0.0,0,95,95,weekdays,ideal,Tinggi
122,2011-01-06,springer,2011,january,8,0,thursday,clear,0.16,0.2273,59.0,0.0,3,216,219,weekdays,ideal,Sangat Tinggi
123,2011-01-06,springer,2011,january,9,0,thursday,cloudy,0.18,0.2424,51.0,0.0,6,116,122,weekdays,ideal,Sangat Tinggi
124,2011-01-06,springer,2011,january,10,0,thursday,clear,0.2,0.2576,47.0,0.0,3,42,45,weekdays,ideal,Sedang
125,2011-01-06,springer,2011,january,11,0,thursday,clear,0.22,0.2576,44.0,0.0896,2,57,59,weekdays,terlalu kering,Tinggi
126,2011-01-06,springer,2011,january,12,0,thursday,clear,0.26,0.2879,35.0,0.0,6,78,84,weekdays,terlalu kering,Tinggi
127,2011-01-06,springer,2011,january,13,0,thursday,clear,0.26,0.2727,35.0,0.1045,12,55,67,weekdays,terlalu kering,Tinggi
128,2011-01-06,springer,2011,january,14,0,thursday,clear,0.28,0.2727,36.0,0.1642,11,59,70,weekdays,terlalu kering,Tinggi
129,2011-01-06,springer,2011,january,15,0,thursday,clear,0.28,0.2727,36.0,0.0,8,54,62,weekdays,terlalu kering,Tinggi
130,2011-01-06,springer,2011,january,16,0,thursday,clear,0.26,0.2576,38.0,0.1642,12,74,86,weekdays,terlalu kering,Tinggi
131,2011-01-06,springer,2011,january,17,0,thursday,clear,0.22,0.2273,51.0,0.1642,9,163,172,weekdays,ideal,Sangat Tinggi
132,2011-01-06,springer,2011,january,18,0,thursday,clear,0.22,0.2273,51.0,0.1343,5,158,163,weekdays,ideal,Sangat Tinggi
133,2011-01-06,springer,2011,january,19,0,thursday,clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,weekdays,ideal,Sangat Tinggi
134,2011-01-06,springer,2011,january,20,0,thursday,clear,0.2,0.2121,51.0,0.1642,3,66,69,weekdays,ideal,Tinggi
135,2011-01-06,springer,2011,january,21,0,thursday,cloudy,0.22,0.2121,55.00000000000001,0.2239,0,48,48,weekdays,ideal,Sedang
136,2011-01-06,springer,2011,january,22,0,thursday,cloudy,0.22,0.2121,51.0,0.2836,1,51,52,weekdays,ideal,Tinggi
137,2011-01-06,springer,2011,january,23,0,thursday,cloudy,0.2,0.197,59.0,0.194,4,19,23,weekdays,ideal,Sedang
138,2011-01-07,springer,2011,january,0,0,friday,cloudy,0.2,0.197,64.0,0.194,4,13,17,weekdays,ideal,Sedang
139,2011-01-07,springer,2011,january,1,0,friday,cloudy,0.2,0.197,69.0,0.2239,2,5,7,weekdays,terlalu lembab,Rendah
140,2011-01-07,springer,2011,january,2,0,friday,cloudy,0.2,0.197,69.0,0.2239,0,1,1,weekdays,terlalu lembab,Rendah
141,2011-01-07,springer,2011,january,4,0,friday,cloudy,0.2,0.2121,69.0,0.1343,0,1,1,weekdays,terlalu lembab,Rendah
142,2011-01-07,springer,2011,january,5,0,friday,light_rain,0.22,0.2727,55.00000000000001,0.0,0,5,5,weekdays,ideal,Rendah
143,2011-01-07,springer,2011,january,6,0,friday,cloudy,0.2,0.2576,69.0,0.0,8,26,34,weekdays,terlalu lembab,Sedang
144,2011-01-07,springer,2011,january,7,0,friday,clear,0.2,0.2121,69.0,0.1343,8,76,84,weekdays,terlalu lembab,Tinggi
145,2011-01-07,springer,2011,january,8,0,friday,clear,0.2,0.197,51.0,0.2537,20,190,210,weekdays,ideal,Sangat Tinggi
146,2011-01-07,springer,2011,january,9,0,friday,clear,0.2,0.1818,47.0,0.2985,9,125,134,weekdays,ideal,Sangat Tinggi
147,2011-01-07,springer,2011,january,10,0,friday,clear,0.22,0.197,37.0,0.3284,16,47,63,weekdays,terlalu kering,Tinggi
148,2011-01-07,springer,2011,january,11,0,friday,cloudy,0.2,0.197,40.0,0.2239,19,48,67,weekdays,terlalu kering,Tinggi
149,2011-01-07,springer,2011,january,12,0,friday,cloudy,0.2,0.197,37.0,0.2537,9,50,59,weekdays,terlalu kering,Tinggi
150,2011-01-07,springer,2011,january,13,0,friday,cloudy,0.2,0.1818,37.0,0.2836,9,64,73,weekdays,terlalu kering,Tinggi
151,2011-01-07,springer,2011,january,14,0,friday,cloudy,0.2,0.197,40.0,0.2537,7,43,50,weekdays,terlalu kering,Tinggi
152,2011-01-07,springer,2011,january,15,0,friday,cloudy,0.2,0.2121,37.0,0.1642,9,63,72,weekdays,terlalu kering,Tinggi
153,2011-01-07,springer,2011,january,16,0,friday,cloudy,0.2,0.2121,37.0,0.1642,5,82,87,weekdays,terlalu kering,Tinggi
154,2011-01-07,springer,2011,january,17,0,friday,cloudy,0.2,0.2576,37.0,0.0,9,178,187,weekdays,terlalu kering,Sangat Tinggi
155,2011-01-07,springer,2011,january,18,0,friday,clear,0.2,0.2273,40.0,0.0896,7,116,123,weekdays,terlalu kering,Sangat Tinggi
156,2011-01-07,springer,2011,january,19,0,friday,clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,weekdays,ideal,Tinggi
157,2011-01-07,springer,2011,january,20,0,friday,clear,0.18,0.2121,47.0,0.1045,1,50,51,weekdays,ideal,Tinggi
158,2011-01-07,springer,2011,january,21,0,friday,clear,0.18,0.197,47.0,0.1343,0,39,39,weekdays,ideal,Sedang
159,2011-01-07,springer,2011,january,22,0,friday,cloudy,0.18,0.197,43.0,0.1642,2,34,36,weekdays,terlalu kering,Sedang
160,2011-01-07,springer,2011,january,23,0,friday,cloudy,0.18,0.197,51.0,0.1642,1,14,15,weekdays,ideal,Sedang
161,2011-01-08,springer,2011,january,0,0,saturday,cloudy,0.18,0.197,51.0,0.1642,1,24,25,weekend,ideal,Sedang
162,2011-01-08,springer,2011,january,1,0,saturday,cloudy,0.18,0.2121,55.00000000000001,0.0896,1,15,16,weekend,ideal,Sedang
163,2011-01-08,springer,2011,january,2,0,saturday,cloudy,0.18,0.2424,55.00000000000001,0.0,3,13,16,weekend,ideal,Sedang
164,2011-01-08,springer,2011,january,3,0,saturday,light_rain,0.18,0.197,55.00000000000001,0.1642,0,7,7,weekend,ideal,Rendah
165,2011-01-08,springer,2011,january,4,0,saturday,light_rain,0.18,0.197,55.00000000000001,0.1642,0,1,1,weekend,ideal,Rendah
166,2011-01-08,springer,2011,january,5,0,saturday,cloudy,0.16,0.1667,74.0,0.1642,0,5,5,weekend,terlalu lembab,Rendah
167,2011-01-08,springer,2011,january,6,0,saturday,cloudy,0.16,0.1667,74.0,0.1642,0,2,2,weekend,terlalu lembab,Rendah
168,2011-01-08,springer,2011,january,7,0,saturday,cloudy,0.16,0.1818,74.0,0.1045,1,8,9,weekend,terlalu lembab,Rendah
169,2011-01-08,springer,2011,january,8,0,saturday,light_rain,0.16,0.1818,93.0,0.1045,0,15,15,weekend,terlalu lembab,Sedang
170,2011-01-08,springer,2011,january,9,0,saturday,light_rain,0.16,0.1818,93.0,0.1045,0,20,20,weekend,terlalu lembab,Sedang
171,2011-01-08,springer,2011,january,10,0,saturday,cloudy,0.18,0.197,80.0,0.1642,5,56,61,weekend,terlalu lembab,Tinggi
172,2011-01-08,springer,2011,january,11,0,saturday,cloudy,0.2,0.1818,69.0,0.3881,2,60,62,weekend,terlalu lembab,Tinggi
173,2011-01-08,springer,2011,january,12,0,saturday,cloudy,0.2,0.1818,59.0,0.3582,8,90,98,weekend,ideal,Tinggi
174,2011-01-08,springer,2011,january,13,0,saturday,clear,0.2,0.1818,44.0,0.3284,7,95,102,weekend,terlalu kering,Sangat Tinggi
175,2011-01-08,springer,2011,january,14,0,saturday,clear,0.2,0.1667,32.0,0.4925,12,83,95,weekend,terlalu kering,Tinggi
176,2011-01-08,springer,2011,january,15,0,saturday,clear,0.2,0.1667,32.0,0.4478,5,69,74,weekend,terlalu kering,Tinggi
177,2011-01-08,springer,2011,january,16,0,saturday,clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,weekend,terlalu kering,Tinggi
178,2011-01-08,springer,2011,january,17,0,saturday,clear,0.16,0.1212,37.0,0.5522,5,64,69,weekend,terlalu kering,Tinggi
179,2011-01-08,springer,2011,january,18,0,saturday,clear,0.14,0.1212,39.0,0.2985,3,52,55,weekend,terlalu kering,Tinggi
180,2011-01-08,springer,2011,january,19,0,saturday,clear,0.14,0.1212,36.0,0.2537,4,26,30,weekend,terlalu kering,Sedang
181,2011-01-08,springer,2011,january,20,0,saturday,clear,0.12,0.1212,36.0,0.2537,0,28,28,weekend,terlalu kering,Sedang
182,2011-01-08,springer,2011,january,21,0,saturday,clear,0.12,0.1061,39.0,0.3582,2,35,37,weekend,terlalu kering,Sedang
183,2011-01-08,springer,2011,january,22,0,saturday,clear,0.12,0.1061,36.0,0.3881,1,33,34,weekend,terlalu kering,Sedang
184,2011-01-08,springer,2011,january,23,0,saturday,clear,0.1,0.0606,39.0,0.4478,0,22,22,weekend,terlalu kering,Sedang
185,2011-01-09,springer,2011,january,0,0,sunday,clear,0.1,0.0758,42.0,0.3881,1,24,25,weekend,terlalu kering,Sedang
186,2011-01-09,springer,2011,january,1,0,sunday,clear,0.1,0.0606,42.0,0.4627,0,12,12,weekend,terlalu kering,Sedang
187,2011-01-09,springer,2011,january,2,0,sunday,clear,0.1,0.0606,46.0,0.4627,0,11,11,weekend,ideal,Sedang
188,2011-01-09,springer,2011,january,3,0,sunday,clear,0.1,0.0758,46.0,0.4179,0,4,4,weekend,ideal,Rendah
189,2011-01-09,springer,2011,january,4,0,sunday,clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,ideal,Rendah
190,2011-01-09,springer,2011,january,5,0,sunday,clear,0.08,0.0909,53.0,0.194,0,1,1,weekend,ideal,Rendah
191,2011-01-09,springer,2011,january,6,0,sunday,clear,0.1,0.0909,49.0,0.2836,0,1,1,weekend,ideal,Rendah
192,2011-01-09,springer,2011,january,7,0,sunday,clear,0.08,0.0909,53.0,0.194,1,5,6,weekend,ideal,Rendah
193,2011-01-09,springer,2011,january,8,0,sunday,clear,0.1,0.0909,49.0,0.2836,0,10,10,weekend,ideal,Sedang
194,2011-01-09,springer,2011,january,9,0,sunday,clear,0.12,0.0758,46.0,0.5224,0,19,19,weekend,ideal,Sedang
195,2011-01-09,springer,2011,january,10,0,sunday,clear,0.14,0.1061,43.0,0.3881,0,49,49,weekend,terlalu kering,Sedang
196,2011-01-09,springer,2011,january,11,0,sunday,clear,0.16,0.1212,40.0,0.5224,2,47,49,weekend,terlalu kering,Sedang
197,2011-01-09,springer,2011,january,12,0,sunday,clear,0.18,0.1364,37.0,0.4478,4,79,83,weekend,terlalu kering,Tinggi
198,2011-01-09,springer,2011,january,13,0,sunday,clear,0.2,0.1667,34.0,0.4478,6,69,75,weekend,terlalu kering,Tinggi
